"lien";"titre";"date";"doc";"ministre"
"https://www.ecologie.gouv.fr//pfue-reunions-informelles-des-ministres-lenvironnement-et-lenergie-amiens-du-20-au-22-janvier-brief";"PFUE - Réunions informelles des ministres de l'Environnement et de l'Energie à Amiens du 20 au 22 janvier : brief presse le mardi 18 janvier";"2022-01-14";"doc1";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-berangere-abba-dans-vosges-lundi-17-janvier-2022";"Déplacement de Bérangère Abba dans les Vosges lundi 17 janvier 2022";"2022-01-14";"doc2";"Barbara Pompili"
"https://www.ecologie.gouv.fr//lutte-contre-precarite-des-femmes-elisabeth-moreno-et-emmanuelle-wargon-se-rendront-cite-des-dames";"Lutte contre la précarité des femmes : Élisabeth Moreno et Emmanuelle Wargon se rendront à la Cité des dames (Paris-13) ce vendredi 14 janvier 2022";"2022-01-14";"doc3";"Barbara Pompili"
"https://www.ecologie.gouv.fr//gouvernement-engage-des-mesures-exceptionnelles-proteger-pouvoir-dachat-des-francais-et-preserver";"Le Gouvernement engage des mesures exceptionnelles pour protéger le pouvoir d’achat des français et préserver la compétitivité de l’approvisionnement électrique des entreprises face à la forte hausse des prix de l’énergie";"2022-01-13";"doc4";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-jean-baptiste-djebbari-dans-pays-baltes-lettonie-lituanie-et-estonie-lundi-10-mardi-11";"Déplacement de Jean-Baptiste Djebbari dans les pays baltes (Lettonie, Lituanie et Estonie), les lundi 10, mardi 11 et mercredi 12 janvier 2022";"2022-01-13";"doc5";"Barbara Pompili"
"https://www.ecologie.gouv.fr//barbara-pompili-participera-ceremonie-dinauguration-grenoble-capitale-verte-samedi-15-janvier";"Barbara Pompili participera à la cérémonie d'inauguration de Grenoble capitale verte le samedi 15 janvier";"2022-01-13";"doc6";"Barbara Pompili"
"https://www.ecologie.gouv.fr//transition-ecologique-au-coeur-des-territoires-signature-dun-accord-partenariat-entre";"Transition écologique au cœur des territoires : signature d’un accord de partenariat entre Intercommunalités de France et le ministère de la Transition écologique";"2022-01-13";"doc7";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-m-jean-castex-chessy-et-sur-prolongement-ligne-4-du-metro-parisien-13-janvier-2022";"Déplacement de M. Jean Castex à Chessy et sur le prolongement de la ligne 4 du métro parisien le 13 janvier 2022";"2022-01-12";"doc8";"Barbara Pompili"
"https://www.ecologie.gouv.fr//services-publics-ecoresponsables-des-avancees-significatives-loccasion-du-deuxieme-comite-suivi-du";"Services publics écoresponsables : des avancées significatives à l'occasion du deuxième comité de suivi du dispositif";"2022-01-12";"doc9";"Barbara Pompili"
"https://www.ecologie.gouv.fr//emmanuelle-wargon-ministre-deleguee-au-logement-et-thierry-repentin-president-lanah-ouvrent-service";"Emmanuelle Wargon, ministre déléguée au logement, et Thierry Repentin, président de l’Anah ouvrent le service public de la rénovation de l’habitat France Rénov";"2022-01-12";"doc10";"Barbara Pompili"
"https://www.ecologie.gouv.fr//ouverture-france-renov-presentation-dun-nouvel-espace-france-renov-montreuil-suivie-dune-conference";"Ouverture de France Rénov' : présentation d'un nouvel espace France Rénov' à Montreuil suivie d'une conférence de presse via Zoom le mercredi 12 janvier 2022";"2022-01-11";"doc11";"Barbara Pompili"
"https://www.ecologie.gouv.fr//pfue-reunion-informelle-des-ministres-lenvironnement-et-lenergie-amiens-du-20-au-22-janvier-2022";"PFUE : réunion informelle des ministres de l'environnement et de l'énergie à Amiens du 20 au 22 janvier 2022";"2022-01-11";"doc12";"Barbara Pompili"
"https://www.ecologie.gouv.fr//rencontre-jean-baptiste-djebbari-et-talis-linkaits";"Rencontre de Jean-Baptiste Djebbari et Talis Linkaits";"2022-01-10";"doc13";"Barbara Pompili"
"https://www.ecologie.gouv.fr//investir-dans-france-2030-remise-au-gouvernement-du-rapport-varin-sur-securisation";"Investir dans la France de 2030 : remise au gouvernement du rapport Varin sur la sécurisation de l’approvisionnement en matières premières minérales et ouverture d’un appel à projets dédié";"2022-01-10";"doc14";"Barbara Pompili"
"https://www.ecologie.gouv.fr//gouvernement-abonde-100-millions-deuros-supplementaires-fonds-recyclage-des-friches-et-devoile-30";"Le Gouvernement abonde de 100 millions d’euros supplémentaires le fonds pour le recyclage des friches et dévoile 30 nouveaux lauréats de deux appels à projets";"2022-01-10";"doc15";"Barbara Pompili"
"https://www.ecologie.gouv.fr//remise-du-rapport-philippe-varin-sur-securisation-lapprovisionnement-lindustrie-en-matieres-premiere";"Remise du rapport de Philippe Varin sur la sécurisation de l'approvisionnement de l'industrie en matières première minérales";"2022-01-07";"doc16";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-jean-castex-premier-ministre-accompagne-barbara-pompili-ministre-transition-ecologique";"Déplacement de Jean Castex, Premier ministre, accompagné de Barbara Pompili, ministre de la Transition écologique et Emmanuelle Wargon, ministre chargée du Logement, dans la Somme le samedi 8 janvier 2022";"2022-01-06";"doc17";"Barbara Pompili"
"https://www.ecologie.gouv.fr//emmanuelle-wargon-se-rendra-dans-cotes-darmor-22-vendredi-7-janvier-2022";"Emmanuelle Wargon se rendra dans les Côtes d’Armor (22) vendredi 7 janvier 2022";"2022-01-06";"doc18";"Barbara Pompili"
"https://www.ecologie.gouv.fr//gouvernement-adopte-decret-limiter-emissions-gaz-effet-serre-des-nouveaux-equipements-chauffage";"Le Gouvernement adopte un décret pour limiter les émissions de gaz à effet de serre des nouveaux équipements de chauffage";"2022-01-06";"doc19";"Barbara Pompili"
"https://www.ecologie.gouv.fr//lutte-contre-pollution-sonore-gouvernement-lance-lexperimentation-radars-sonores";"Lutte contre la pollution sonore : le gouvernement lance l’expérimentation de radars sonores";"2022-01-04";"doc20";"Barbara Pompili"
"https://www.ecologie.gouv.fr//lutte-contre-pollution-sonore-barbara-pompili-lancera-lexperimentation-des-radars-sonores-saint";"Lutte contre la pollution sonore : Barbara Pompili lancera l’expérimentation des radars sonores à Saint-Lambert-des-bois - Yvelines mardi 4 janvier 2022";"2021-12-31";"doc21";"Barbara Pompili"
"https://www.ecologie.gouv.fr//presentation-concertation-sur-projet-du-parc-eolien-au-large-normandie-zone-centre-manche";"Présentation de la concertation sur le projet du parc éolien au large de la Normandie, zone « Centre Manche »";"2021-12-30";"doc22";"Barbara Pompili"
"https://www.ecologie.gouv.fr//deplacement-jean-baptiste-djebbari-en-haute-savoie-74-mardi-28-decembre-2021";"Déplacement de Jean-Baptiste Djebbari en Haute-Savoie (74), le mardi 28 décembre 2021";"2021-12-27";"doc23";"Barbara Pompili"
