"";"lemma";"ministre";"spec";"n"
"1";"logement";"Barbara Pompili";280,5627;1114
"2";"relancer";"Barbara Pompili";241,8475;780
"3";"barbara";"Barbara Pompili";154,6155;385
"4";"délégué";"Barbara Pompili";144,3817;481
"5";"heure";"Nicolas Hulot";95,6274;348
"6";"distanciation";"Barbara Pompili";61,9878;193
"7";"sanitaire";"Barbara Pompili";59,6451;517
"8";"strict";"Barbara Pompili";53,6948;208
"9";"physique";"Barbara Pompili";51,7841;201
"10";"solidaire";"François de Rugy";51,4722;706
"11";"ministre";"François de Rugy";46,6498;1682
"12";"barrière";"Barbara Pompili";46,1889;221
"13";"suivant";"Barbara Pompili";42,6583;274
"14";"exceptionnel";"Barbara Pompili";38,938;249
"15";"résilience";"Barbara Pompili";38,7196;181
"16";"solidaire";"Nicolas Hulot";33,8742;680
"17";"raison";"Barbara Pompili";33,7854;294
"18";"écologique";"Élisabeth Borne";33,2795;1145
"19";"geste";"Barbara Pompili";32,7586;233
"20";"mobilité";"Nicolas Hulot";32,0688;398
"21";"assise";"Nicolas Hulot";30,9513;139
"22";"décrue";"Nicolas Hulot";30,7035;51
"23";"événement";"Barbara Pompili";30,5731;203
"24";"loyer";"Barbara Pompili";29,8034;73
"25";"contrat";"Élisabeth Borne";29,3449;294
"26";"construction";"Barbara Pompili";29,3351;289
"27";"cru";"Nicolas Hulot";28,1844;74
"28";"borne";"Élisabeth Borne";27,7316;323
"29";"respect";"Barbara Pompili";27,0389;256
"30";"publicité";"Barbara Pompili";26,6081;79
"31";"cheminot";"Nicolas Hulot";26,016;47
"32";"vélo";"Barbara Pompili";25,1863;294
"33";"milliard";"Barbara Pompili";24,7203;207
"34";"article";"Barbara Pompili";24,1372;129
"35";"charger";"Barbara Pompili";23,5634;779
"36";"pétrolier";"Élisabeth Borne";23,2134;49
"37";"contrat";"François de Rugy";22,6481;275
"38";"friche";"Barbara Pompili";20,8979;112
"39";"brun";"Nicolas Hulot";20,8189;218
"40";"baptiste";"Élisabeth Borne";20,8131;192
"41";"baptiste";"Barbara Pompili";20,8117;284
"42";"ministre";"Nicolas Hulot";20,3667;1607
"43";"européen";"Nicolas Hulot";20,0062;498
"44";"prévisionnel";"François de Rugy";19,9742;120
"45";"numéro";"François de Rugy";19,7114;162
"46";"propriétaire";"Barbara Pompili";19,6921;96
"47";"règle";"Barbara Pompili";19,6418;248
"48";"locatif";"Barbara Pompili";19,6231;49
"49";"transition";"Élisabeth Borne";19,3638;1121
"50";"tendre";"Barbara Pompili";19,3007;238
"51";"condition";"Barbara Pompili";19,2369;438
"52";"masque";"Barbara Pompili";18,9056;99
"53";"niveau";"Nicolas Hulot";18,6476;484
"54";"station";"Élisabeth Borne";18,4033;132
"55";"soutien";"Barbara Pompili";18,2932;345
"56";"crise";"Barbara Pompili";18,2925;286
"57";"solidaire";"Élisabeth Borne";18,2782;581
"58";"façade";"Nicolas Hulot";17,5728;46
"59";"vigilance";"Nicolas Hulot";17,3387;76
"60";"fashion";"Élisabeth Borne";17,1682;30
"61";"pari";"Nicolas Hulot";17,06;380
"62";"internet";"Nicolas Hulot";16,978;102
"63";"programmation";"François de Rugy";16,6931;105
"64";"brun";"François de Rugy";16,654;197
"65";"feuille";"Nicolas Hulot";16,5711;150
"66";"parc";"Barbara Pompili";16,5018;335
"67";"économique";"Élisabeth Borne";16,4745;324
"68";"concurrence";"Nicolas Hulot";16,0816;102
"69";"aider";"Barbara Pompili";15,78;207
"70";"aide";"Barbara Pompili";15,5626;113
"71";"pool";"Barbara Pompili";15,1746;99
"72";"locataire";"Barbara Pompili";15,1109;41
"73";"location";"Barbara Pompili";15,0422;60
"74";"expulsion";"Barbara Pompili";14,6586;34
"75";"presse";"François de Rugy";14,6139;823
"76";"végétarien";"Barbara Pompili";14,5666;37
"77";"bailleur";"Barbara Pompili";14,3049;61
"78";"plan";"Barbara Pompili";14,133;775
"79";"secrétaire";"Élisabeth Borne";14,0246;362
"80";"lieu";"Élisabeth Borne";13,8981;325
"81";"cm";"Nicolas Hulot";13,8887;23
"82";"port";"Barbara Pompili";13,8608;207
"83";"résidence";"Barbara Pompili";13,8184;93
"84";"ferroviaire";"Nicolas Hulot";13,7909;252
"85";"quartier";"Barbara Pompili";13,7836;103
"86";"suède";"Nicolas Hulot";13,7441;37
"87";"stand";"François de Rugy";13,7324;66
"88";"numérique";"Barbara Pompili";13,5327;207
"89";"rénovation";"Barbara Pompili";13,5191;419
"90";"accréditation";"Nicolas Hulot";13,5076;67
"91";"jean";"Élisabeth Borne";13,3906;257
"92";"seine";"Nicolas Hulot";13,2744;134
"93";"permanence";"Élisabeth Borne";13,2505;45
"94";"recharger";"Barbara Pompili";13,2132;103
"95";"réforme";"Nicolas Hulot";13,115;94
"96";"avril";"François de Rugy";13,0843;141
"97";"ménage";"Barbara Pompili";12,9739;197
"98";"jean";"Barbara Pompili";12,897;402
"99";"précipitation";"Nicolas Hulot";12,8917;37
